Designator,Mid X,Mid Y,Rotation,Layer
C1,27.8875,-12.39,180.0,top
C10,33.8,-9.59,0.0,top
C11,33.7875,-12.3525,180.0,top
C12,32.5,-17.69,180.0,top
C13,34.4,-30.2,270.0,top
C2,28.7,-17.69,0.0,top
C4,32.2,-26.02,90.0,top
C9,35.4,-30.2,270.0,top
D1,31.1,-9.99,180.0,top
J2,34.26,-7.0,270.0,top
J3,37.9,-6.975,0.0,top
J7,24.5,-14.58,0.0,top
MK1,31.25,-29.0,0.0,top
Q2,28.85,-20.7525,90.0,top
Q3,29.8875,-11.9525,270.0,top
Q5,32.35,-20.7525,90.0,top
R1,35.1,-22.79,270.0,top
R10,29.64,-23.2525,180.0,top
R11,35.4,-10.0,270.0,top
R12,31.2,-26.0,90.0,top
R13,33.56,-23.2525,180.0,top
R14,31.56,-23.2525,0.0,top
R17,30.6,-17.69,0.0,top
R18,31.8775,-12.3525,180.0,top
R4,27.8875,-11.3525,180.0,top
R5,27.8875,-10.2525,0.0,top
R9,27.64,-23.2525,0.0,top
SW1,29.2,-2.4,180.0,bottom
U3,35.2,-27.1,0.0,top
U4,29.45,-15.09,270.0,top
U5,33.785,-10.965,180.0,top
U7,33.0,-15.09,270.0,top
