Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12, C13, C14, C15, C16, C17, C18, C19, C2, C20, C21, C29, C3, C4, C42, C5, C6, C7, C8, C9",0603,21,100n,C14663
"C10, C11",0603,2,1u,C15849
"C22, C28, C34, C35, C36",0603,5,10u,C96446
"C23, C27",0603,2,27p,C1653
"C24, C26",0603,2,22p,C1653
"C25, C30",0603,2,10n,C57112
"C31, C33",0603,2,6.8n,C1631
C32,CP_Elec_6.3x5.4,1,100u,C180946
D1,D_SOD-123,1,SM4007,C64898
FB1,0603,1,FerriteBead,C1002
J5,USB_C_Receptacle_Palconn_UTC16-G,1,USB_C_Receptacle_USB2.0,C709357
"Q1, Q2",SOT-23,2,MMBT2222,C8512
"Q3, Q4, Q5, Q6, Q7, Q8, Q9",SOT-23,7,BSS138,C7420339
"R1, R2, R24, R25, R26, R27, R28, R29, R30, R31, R32, R33, R34, R35, R36, R37, R38, R39, R40, R41, R42, R43, R44, R45, R48, R49, R52, R53, R54, R55, R56, R57, R58, R59, R60, R61, R62, R63",0603,38,5.1k,C23186
"R10, R6, R7, R8",0603,4,4.7,C23164
"R11, R5, R64, R65, R66, R67, R70, R71, R72, R73, R87, R88, R89, R9, R90, R98, R99",0603,17,10k,C25804
"R12, R13, R14, R15",0603,4,49.9,C23185
R16,0603,1,1M,C22935
"R17, R22, R23, R50, R51",0603,5,1k,C21190
"R18, R19",0603,2,470,C23179
R20,0603,1,12.4k,C22865
R21,0603,1,10,C22859
"R3, R4",0603,2,27,C25190
"R46, R47",0603,2,220,C22962
"SW1, SW2",SW_SPST_TL3342,2,SW_Push,C318884
"U1, U6, U7",TQFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm_ThermalVias,3,MAX7313,C2669657
U2,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
U3,LQFP-48_7x7mm_P0.5mm,1,W5500,C32843
U5,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,C97521
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHz,C9002
Y2,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,25MHz,C9006
